id,code,exception,tax_classification
__export__.l10n_br_fiscal_ncm_11662_5f692704,0210.92.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11663_db9b8528,0210.92.00,1,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11664_dd7b95df,0210.93.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11665_3d382b6d,0210.93.00,1,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11666_6050e453,0210.99.11,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11667_10b3d7ac,0210.99.19,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11668_f547885e,0210.99.20,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11669_965c4172,0210.99.30,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11670_4553de59,0210.99.40,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11671_19be9a02,0210.99.90,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11672_8538f360,0210.99.90,1,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11673_19d4eacb,0301.11.10,,
__export__.l10n_br_fiscal_ncm_11674_6adb54fc,0301.11.90,,
__export__.l10n_br_fiscal_ncm_11675_023a9f8d,0301.19.00,,
__export__.l10n_br_fiscal_ncm_11676_90a81583,0301.91.10,,
__export__.l10n_br_fiscal_ncm_11677_ddda1cf3,0301.91.90,,
__export__.l10n_br_fiscal_ncm_11678_5060b064,0301.92.10,,
__export__.l10n_br_fiscal_ncm_11679_915bce90,0301.92.90,,
__export__.l10n_br_fiscal_ncm_11680_bffe72d4,0301.93.10,,
__export__.l10n_br_fiscal_ncm_11681_469d44f3,0301.93.90,,
__export__.l10n_br_fiscal_ncm_11682_999f021b,0301.94.10,,
__export__.l10n_br_fiscal_ncm_11683_297a7601,0301.94.90,,
__export__.l10n_br_fiscal_ncm_11684_171b67bd,0301.95.10,,
__export__.l10n_br_fiscal_ncm_11685_8c78f15a,0301.95.90,,
__export__.l10n_br_fiscal_ncm_11686_a687e098,0301.99.11,,
__export__.l10n_br_fiscal_ncm_11687_4d6fcb57,0301.99.12,,
__export__.l10n_br_fiscal_ncm_11688_ec5b01dc,0301.99.19,,
__export__.l10n_br_fiscal_ncm_11689_fdbc7cfd,0301.99.91,,
__export__.l10n_br_fiscal_ncm_11690_2a354bf4,0301.99.92,,
__export__.l10n_br_fiscal_ncm_11691_a22c37cf,0301.99.99,,
__export__.l10n_br_fiscal_ncm_11692_7ba532cf,0302.11.00,,
__export__.l10n_br_fiscal_ncm_11693_65977998,0302.13.00,,
__export__.l10n_br_fiscal_ncm_11694_0e149116,0302.14.00,,
__export__.l10n_br_fiscal_ncm_11695_4ed06eb6,0302.19.00,,
__export__.l10n_br_fiscal_ncm_11696_b85730c9,0302.21.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11697_4b98c005,0302.22.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11698_5286f1c7,0302.23.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11699_471d4346,0302.24.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11700_ab63b296,0302.29.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11701_6151cfdd,0302.31.00,,
__export__.l10n_br_fiscal_ncm_11702_8308c247,0302.32.00,,
__export__.l10n_br_fiscal_ncm_11703_55b72d8c,0302.33.00,,
__export__.l10n_br_fiscal_ncm_11704_3e261f1d,0302.34.00,,
__export__.l10n_br_fiscal_ncm_11705_c773df54,0302.35.00,,
